respondent_id,survey_date,session_source,role,region,city,institution_type,institution_tier,delivery_mode,discipline,program_level,year_of_study,age,ai_literacy_1to5,digital_comfort_1to5,internet_quality_1to5,ai_use_days_per_week,time_saved_hours_per_week,primary_ai_tool,other_tools_used,top_ai_use_cases,assessment_context_most_impacted,institution_policy_awareness,institution_ai_stance,cites_ai_sources_rate_0to1,verifies_ai_outputs_rate_0to1,perceived_learning_benefit_1to5,perceived_cheating_risk_1to5,perceived_dependency_risk_1to5,trust_in_ai_outputs_1to5,fairness_equity_concern_1to5,plagiarism_or_misuse_flag,student_grade_change_pct,student_stress_change_index,student_critical_thinking_change_index,staff_reported_ai_misuse_cases_last_term,ai_training_hours_last_6_months,ai_adoption_category
R100014,2025-07-23,Workshop Feedback,Student,India,Chennai,Public University,Tier 1,On-campus,Business,High School,10,18,4,2,4,5,1.1,ChatGPT,,Quiz practice,Project,Not aware,Allowed (limited),0.29,0.44,3,3,3,2,4,0,-5.4,2.6,-3.7,,1.5,High
R100015,2025-05-14,Panel Discussion Survey,Student,Canada,Montreal,K-12 School,Tier 1,On-campus,Computer Science,Postgraduate,2,26,3,2,4,6,12.1,Copilot,ChatGPT; Grammarly,Coding help; Interview prep; Presentation creation,In-class test,Trained on it,Allowed with citation,0.3,0.6,3,3,3,3,2,1,2.4,-12.0,-0.6,,3.5,High
R100016,2025-03-18,Class Survey,Student,India,Pune,K-12 School,Tier 3,Online,Medicine,Undergraduate,2,19,4,2,4,6,8.0,Grammarly,Claude,Assignment writing,Online quiz,Not aware,Unclear,0.77,0.48,4,4,3,4,3,0,7.7,-4.8,-0.7,,0.0,High
R100017,2025-05-21,Panel Discussion Survey,Student,India,Hyderabad,Public University,Tier 2,Hybrid,Business,Undergraduate,3,23,2,2,4,3,5.4,DALL·E,ChatGPT,Quiz practice,Online quiz,Not aware,Not allowed,0.65,0.33,3,4,4,3,3,0,4.9,1.6,-3.8,,1.2,Medium
R100018,2025-12-13,Class Survey,Faculty,UAE,Abu Dhabi,Community College,Tier 1,On-campus,Engineering,Staff,,32,5,2,4,4,1.3,Copilot,ChatGPT,Interview prep; Assignment writing; Coding help,Take-home assignment,Trained on it,Allowed with citation,0.61,0.42,2,3,4,4,3,0,,,,4.0,9.6,Medium
R100019,2025-06-10,Panel Discussion Survey,Student,India,Pune,Community College,Tier 3,On-campus,Business,Undergraduate,2,18,3,2,4,3,3.1,Stable Diffusion,,Coding help,Take-home assignment,Heard of it,Allowed (limited),0.39,0.49,3,3,3,3,3,0,5.7,3.0,3.2,,2.4,Medium
R100020,2025-07-27,Panel Discussion Survey,Student,India,Hyderabad,K-12 School,Tier 2,On-campus,Computer Science,Undergraduate,3,19,5,2,4,7,10.0,Grammarly,,Assignment writing; Career guidance; Research summarization,Project,Not aware,Unclear,0.63,0.42,4,4,4,4,2,0,1.3,-4.7,-1.2,,1.3,High
R100021,2025-04-11,Class Survey,Student,UAE,Sharjah,Public University,Tier 2,On-campus,Education,Postgraduate,2,26,4,2,4,5,3.7,Grammarly,Grammarly; Perplexity,Presentation creation; Interview prep,Project,Not aware,Unclear,0.49,0.6,5,4,3,4,3,0,5.6,1.1,-2.2,,3.8,High
R100022,2025-11-26,Workshop Feedback,Admin,India,Bengaluru,Public University,Tier 1,Hybrid,Computer Science,Staff,,37,2,2,4,3,0.0,Khanmigo,Midjourney,Presentation creation; Coding help,Take-home assignment,Heard of it,Allowed with citation,0.31,0.19,2,5,2,2,4,0,,,,9.0,0.3,Medium
R100023,2025-04-04,Panel Discussion Survey,Faculty,USA,San Francisco,Private University,Tier 1,Hybrid,Business,Staff,,45,4,2,4,4,5.5,QuillBot,Midjourney,Note-making,Project,Not aware,Allowed (limited),0.34,0.49,5,3,3,2,3,0,,,,0.0,8.1,Medium
R100024,2025-03-16,Panel Discussion Survey,Student,Australia,Sydney,Public University,Tier 3,Hybrid,Business,Postgraduate,1,23,3,2,4,4,4.7,Perplexity,Grammarly; Khanmigo; QuillBot,Language improvement; Research summarization; Career guidance,In-class test,Heard of it,Not allowed,0.24,0.73,4,3,5,4,3,0,2.9,-1.9,-2.2,,1.7,Medium
R100025,2025-04-29,Class Survey,Student,India,Hyderabad,Private University,Tier 2,Hybrid,Business,Undergraduate,2,17,2,2,4,4,7.7,QuillBot,Gemini; Perplexity,Interview prep; Quiz practice,Online quiz,Heard of it,Allowed with citation,0.37,0.44,3,1,4,5,2,0,3.8,-3.0,1.3,,0.5,Medium
R100026,2025-04-01,Panel Discussion Survey,Student,Australia,Brisbane,K-12 School,Tier 1,On-campus,Computer Science,Postgraduate,2,25,4,2,4,5,5.7,ChatGPT,,Research summarization; Interview prep,Online quiz,Not aware,Unclear,0.45,0.47,3,4,3,5,3,0,1.8,0.1,-3.1,,2.6,High
R100027,2025-02-18,Workshop Feedback,Student,Australia,Sydney,Public University,Tier 2,On-campus,Engineering,Undergraduate,2,17,2,2,4,2,2.2,DALL·E,,Quiz practice; Coding help,Project,Read it,Unclear,0.54,0.52,3,3,4,1,2,0,-0.4,-3.4,0.9,,0.1,Medium
R100028,2025-09-02,Panel Discussion Survey,Student,Canada,Toronto,Private University,Tier 1,On-campus,Business,Undergraduate,4,21,3,2,4,2,3.8,Khanmigo,Grammarly; Stable Diffusion; ChatGPT,Note-making; Language improvement,Online quiz,Not aware,Allowed with citation,0.3,0.32,4,3,4,4,4,0,8.4,0.4,-0.2,,3.1,Medium
R100029,2025-02-07,Panel Discussion Survey,Student,USA,Seattle,EdTech Bootcamp,Tier 1,On-campus,Computer Science,Undergraduate,4,20,2,2,4,4,6.9,Grammarly,Perplexity; QuillBot; Midjourney,Assignment writing,Take-home assignment,Heard of it,Not allowed,0.11,0.19,3,3,3,2,3,0,1.0,-4.3,2.8,,0.0,Medium
R100030,2025-02-22,Class Survey,Student,USA,Austin,Private University,Tier 2,Hybrid,Sciences,Undergraduate,3,20,3,2,4,4,3.4,ChatGPT,,Quiz practice; Interview prep,In-class test,Not aware,Not allowed,0.09,0.38,3,4,2,5,2,0,3.6,-7.2,2.9,,3.3,Medium
R100031,2025-11-12,Panel Discussion Survey,Admin,USA,Austin,Private University,Tier 2,On-campus,Business,Staff,,53,4,2,4,3,5.5,Gemini,ChatGPT; Stable Diffusion; DALL·E,Language improvement; Assignment writing; Career guidance,In-class test,Not aware,Unclear,0.28,0.73,3,5,2,2,3,0,,,,5.0,8.0,Medium
R100032,2025-02-02,Workshop Feedback,Student,UK,London,Private University,Tier 1,Hybrid,Computer Science,Undergraduate,1,21,4,2,4,6,6.2,Gemini,,Exam revision; Interview prep,Online quiz,Heard of it,Unclear,0.16,0.72,4,3,2,2,2,0,1.3,-5.7,0.3,,0.0,High
R100033,2025-06-24,Panel Discussion Survey,Student,India,Delhi,Public University,Tier 2,On-campus,Medicine,Postgraduate,2,25,2,2,4,3,3.6,Gemini,Midjourney; ChatGPT,Assignment writing,Take-home assignment,Not aware,Unclear,0.49,0.28,4,4,3,3,2,0,-1.0,5.0,-0.5,,2.2,Medium
R100034,2025-11-26,Panel Discussion Survey,Student,Singapore,Singapore,Public University,Tier 2,On-campus,Computer Science,Undergraduate,2,18,4,2,4,5,7.3,Grammarly,,Presentation creation; Coding help,In-class test,Not aware,Unclear,0.34,0.48,3,4,3,3,4,0,6.4,-6.6,-1.9,,4.4,High
R100035,2025-10-03,Panel Discussion Survey,Student,USA,San Francisco,Community College,Tier 2,On-campus,Law,Postgraduate,2,25,1,2,4,3,5.3,Midjourney,ChatGPT,Exam revision,Take-home assignment,Heard of it,Allowed with citation,0.07,0.37,3,1,4,2,2,0,0.3,0.6,-2.6,,1.3,Medium
R100036,2025-11-05,Panel Discussion Survey,Student,Canada,Ottawa,Private University,Tier 1,Hybrid,Computer Science,Postgraduate,1,29,3,2,4,5,6.6,Grammarly,Stable Diffusion; Grammarly; Copilot,Exam revision; Interview prep; Career guidance,In-class test,Read it,Allowed (limited),0.44,0.89,3,3,4,4,3,0,8.1,-1.0,0.8,,0.0,Medium
R100037,2025-04-26,Class Survey,Student,India,Chennai,Private University,Tier 1,Hybrid,Engineering,Postgraduate,1,26,3,2,4,4,2.6,Claude,Khanmigo; Perplexity,Note-making; Coding help; Presentation creation,Online quiz,Heard of it,Allowed with citation,0.7,0.41,4,4,3,4,5,0,-0.6,-3.8,-5.3,,0.0,Medium
R100038,2025-12-16,Panel Discussion Survey,Student,India,Pune,Public University,Tier 1,Online,Sciences,Undergraduate,1,17,4,2,4,5,2.3,Stable Diffusion,Grammarly; Perplexity,Exam revision; Interview prep; Quiz practice,Viva/Oral,Not aware,Allowed (limited),0.34,0.78,3,4,1,2,3,0,4.6,-1.8,-1.0,,2.6,High
R100039,2025-11-26,Workshop Feedback,Student,UAE,Abu Dhabi,K-12 School,Tier 2,On-campus,Computer Science,High School,12,15,4,2,4,7,8.0,Midjourney,Grammarly,Career guidance; Research summarization,Take-home assignment,Not aware,Unclear,0.22,0.57,5,4,4,5,3,0,-1.0,-2.7,-0.3,,3.7,High
R100040,2025-05-14,Class Survey,Student,UAE,Abu Dhabi,Public University,Tier 2,Hybrid,Business,Undergraduate,4,17,3,2,4,3,5.5,Grammarly,Copilot; Notion AI,Exam revision,Take-home assignment,Heard of it,Not allowed,0.28,0.6,4,2,2,2,1,0,3.7,-2.4,-3.8,,2.8,Medium
R100041,2025-10-14,Panel Discussion Survey,Faculty,India,Hyderabad,K-12 School,Tier 1,Hybrid,Arts/Humanities,Staff,,29,3,2,4,4,5.7,Claude,DALL·E; Copilot; Midjourney,Language improvement; Exam revision,In-class test,Heard of it,Allowed (limited),0.02,0.63,3,4,4,3,4,0,,,,4.0,7.5,Medium
R100042,2025-01-16,Workshop Feedback,Student,India,Kolkata,Private University,Tier 3,On-campus,Sciences,Postgraduate,1,25,2,2,4,3,4.1,Grammarly,ChatGPT,Presentation creation,Online quiz,Not aware,Unclear,0.37,0.4,4,4,4,5,2,0,0.0,-0.4,1.7,,0.1,Medium
R100043,2025-12-08,Class Survey,Student,India,Chennai,Community College,Tier 2,On-campus,Engineering,Postgraduate,2,28,4,2,4,5,6.0,Copilot,Copilot; ChatGPT,Language improvement; Exam revision; Note-making,Online quiz,Heard of it,Unclear,0.52,0.52,4,4,3,4,4,0,1.8,-0.4,-2.7,,2.0,High
R100044,2025-04-20,Panel Discussion Survey,Faculty,UAE,Abu Dhabi,Public University,Tier 1,On-campus,Arts/Humanities,Staff,,30,2,2,4,4,5.4,ChatGPT,Gemini; Grammarly; Perplexity,Language improvement,In-class test,Trained on it,Allowed (limited),0.25,0.33,2,2,4,2,3,0,,,,0.0,11.2,Medium
R100045,2025-09-29,Class Survey,Faculty,India,Kolkata,Public University,Tier 1,On-campus,Computer Science,Staff,,26,4,2,4,4,2.8,Notion AI,,Assignment writing,Take-home assignment,Trained on it,Unclear,0.27,0.59,5,3,4,4,4,0,,,,1.0,1.8,Medium
R100046,2025-03-19,Class Survey,Student,Singapore,Singapore,Private University,Tier 1,Online,Arts/Humanities,Undergraduate,4,19,3,2,4,5,7.6,Grammarly,Claude; Midjourney; DALL·E,Interview prep,Viva/Oral,Not aware,Allowed with citation,0.78,0.66,1,3,3,4,5,0,4.5,-3.7,-1.1,,2.0,Medium
R100047,2025-09-09,Panel Discussion Survey,Student,India,Bengaluru,K-12 School,Tier 1,On-campus,Business,Undergraduate,4,17,3,2,4,4,6.5,Claude,QuillBot,Presentation creation; Quiz practice,Online quiz,Read it,Allowed with citation,0.13,0.69,5,3,3,3,4,0,11.9,-3.6,-0.7,,2.5,Medium
R100048,2025-10-05,Panel Discussion Survey,Student,India,Pune,Public University,Tier 2,Hybrid,Arts/Humanities,Undergraduate,1,22,2,2,4,2,1.7,DALL·E,,Presentation creation; Exam revision,Project,Heard of it,Allowed (limited),0.14,0.59,3,1,2,4,2,0,-3.8,-1.2,-1.1,,1.0,Medium
R100049,2025-07-26,Class Survey,Student,India,Chennai,Private University,Tier 1,Hybrid,Computer Science,Undergraduate,4,21,4,2,4,7,9.3,Midjourney,DALL·E,Exam revision,In-class test,Read it,Not allowed,0.43,0.45,5,3,3,3,3,0,4.5,-5.7,-0.3,,0.0,High
R100050,2024-12-28,Panel Discussion Survey,Student,UAE,Sharjah,Private University,Tier 3,On-campus,Medicine,Undergraduate,2,17,4,2,4,6,3.8,Notion AI,ChatGPT,Language improvement; Coding help; Research summarization,Project,Heard of it,Not allowed,0.57,0.43,5,2,2,3,4,0,6.5,-0.2,-1.1,,1.1,High
R100051,2025-10-08,Panel Discussion Survey,Student,UAE,Abu Dhabi,Public University,Tier 2,Hybrid,Business,Undergraduate,3,17,4,2,4,4,5.2,ChatGPT,Claude; QuillBot; Perplexity,Language improvement,Project,Heard of it,Unclear,0.39,0.38,3,4,2,2,2,0,1.4,-4.8,0.2,,0.0,Medium
R100052,2025-11-30,Panel Discussion Survey,Faculty,USA,Boston,Private University,Tier 2,On-campus,Education,Staff,,50,3,2,4,5,5.7,ChatGPT,Gemini; Copilot,Interview prep,Take-home assignment,Heard of it,Allowed (limited),0.36,0.48,3,4,2,2,5,0,,,,3.0,3.8,Medium
R100053,2025-04-15,Workshop Feedback,Student,Singapore,Singapore,Public University,Tier 3,Hybrid,Education,High School,11,16,2,2,4,2,4.9,Grammarly,Grammarly,Assignment writing; Research summarization; Quiz practice,Take-home assignment,Read it,Unclear,0.39,0.54,4,4,1,3,3,0,2.8,-2.7,-1.9,,1.7,Medium
R100054,2025-12-13,Class Survey,Student,India,Bengaluru,Private University,Tier 2,On-campus,Sciences,Postgraduate,2,23,5,2,4,6,6.8,Khanmigo,Gemini; Notion AI,Exam revision,Take-home assignment,Heard of it,Allowed (limited),1.0,0.51,3,3,4,3,4,0,5.5,-4.3,-1.1,,0.4,High
R100055,2025-01-15,Panel Discussion Survey,Faculty,UK,Edinburgh,Public University,Tier 3,On-campus,Sciences,Staff,,28,2,2,4,2,4.1,Perplexity,Stable Diffusion; ChatGPT,Interview prep; Coding help; Language improvement,Project,Read it,Allowed with citation,0.18,0.34,3,4,3,3,3,0,,,,6.0,6.3,Medium
R100056,2025-05-14,Class Survey,Student,India,Bengaluru,Private University,Tier 3,On-campus,Engineering,Postgraduate,2,29,4,2,4,6,6.4,ChatGPT,Claude; ChatGPT; Midjourney,Exam revision; Interview prep,In-class test,Heard of it,Allowed with citation,0.33,0.65,3,3,4,4,3,0,9.2,-1.9,-2.9,,2.8,High
R100057,2025-05-02,Panel Discussion Survey,Student,India,Hyderabad,Private University,Tier 2,Hybrid,Education,High School,11,18,3,2,4,3,0.0,ChatGPT,Stable Diffusion; Claude,Career guidance,In-class test,Not aware,Allowed with citation,0.33,0.39,3,4,4,2,2,0,2.5,3.4,-1.8,,1.4,Medium
R100058,2025-08-10,Workshop Feedback,Student,UAE,Sharjah,Private University,Tier 1,Hybrid,Computer Science,Undergraduate,2,21,3,2,4,5,5.5,ChatGPT,ChatGPT; Notion AI; Grammarly,Exam revision; Language improvement; Research summarization,Online quiz,Heard of it,Not allowed,0.47,0.42,3,3,4,3,5,1,-7.0,-3.4,-1.4,,1.1,Medium
R100059,2025-09-30,Panel Discussion Survey,Student,India,Chennai,Private University,Tier 2,Hybrid,Sciences,Undergraduate,4,22,3,2,4,5,6.4,Grammarly,ChatGPT,Assignment writing; Research summarization,Online quiz,Not aware,Unclear,0.8,0.65,4,3,4,3,5,0,8.7,-5.2,-4.4,,0.6,Medium
R100060,2025-10-19,Class Survey,Student,USA,Chicago,EdTech Bootcamp,Tier 1,On-campus,Arts/Humanities,Postgraduate,2,29,2,2,4,2,2.7,Copilot,,Assignment writing,In-class test,Not aware,Unclear,0.26,0.37,4,4,3,3,5,0,2.0,-3.1,-2.4,,0.8,Medium
R100061,2025-01-29,Panel Discussion Survey,Student,UK,Manchester,Private University,Tier 2,Online,Engineering,Doctorate,1,25,4,2,4,7,8.7,ChatGPT,DALL·E; ChatGPT,Interview prep; Language improvement,In-class test,Heard of it,Unclear,0.52,0.4,4,4,4,3,1,0,6.7,-1.0,1.2,,4.2,High
R100062,2025-11-10,Workshop Feedback,Student,UK,Edinburgh,K-12 School,Tier 2,On-campus,Engineering,Undergraduate,1,18,3,2,4,3,2.6,Perplexity,Midjourney; ChatGPT; DALL·E,Coding help; Quiz practice,In-class test,Heard of it,Unclear,0.0,0.47,4,4,3,4,3,0,4.7,-4.4,-4.0,,0.0,Medium
R100063,2025-11-12,Panel Discussion Survey,Student,UAE,Abu Dhabi,Public University,Tier 2,Online,Education,Undergraduate,1,18,5,2,4,5,5.4,Midjourney,Grammarly; Perplexity; Gemini,Exam revision; Career guidance; Research summarization,Take-home assignment,Not aware,Unclear,0.5,0.69,4,5,3,4,4,0,8.9,-1.5,7.3,,0.2,High
R100064,2025-05-03,Workshop Feedback,Student,USA,Boston,Private University,Tier 3,Hybrid,Law,Postgraduate,2,27,3,2,4,5,3.7,Copilot,Copilot; QuillBot,Research summarization; Assignment writing; Exam revision,Take-home assignment,Not aware,Unclear,0.35,0.9,2,5,3,2,2,1,1.6,3.1,-2.4,,2.6,Medium
R100065,2025-07-05,Workshop Feedback,Student,India,Delhi,Public University,Tier 2,Hybrid,Law,High School,10,18,3,2,4,1,0.0,ChatGPT,,Quiz practice,Project,Heard of it,Allowed with citation,0.53,0.72,3,4,5,4,3,0,1.7,4.5,0.1,,0.0,Medium
R100066,2025-07-24,Panel Discussion Survey,Student,India,Delhi,Private University,Tier 2,On-campus,Medicine,Postgraduate,1,23,3,2,4,6,7.0,Notion AI,Copilot; Gemini; ChatGPT,Research summarization,Viva/Oral,Trained on it,Allowed with citation,0.31,1.0,4,3,3,4,2,0,4.4,-2.1,-2.3,,3.8,High
R100067,2025-10-09,Panel Discussion Survey,Student,India,Delhi,Community College,Tier 2,Hybrid,Engineering,Undergraduate,3,22,5,2,4,6,5.7,DALL·E,DALL·E; Gemini; ChatGPT,Interview prep; Presentation creation; Assignment writing,Project,Heard of it,Unclear,0.27,0.42,5,4,4,5,5,0,1.5,-1.0,-1.9,,0.0,High
R100068,2025-05-02,Panel Discussion Survey,Student,USA,Seattle,K-12 School,Tier 3,Hybrid,Sciences,Undergraduate,4,20,2,2,4,1,3.4,ChatGPT,Gemini; Copilot,Presentation creation; Quiz practice; Assignment writing,In-class test,Read it,Allowed with citation,0.32,0.62,3,3,2,3,2,0,-1.4,-3.5,-3.0,,1.2,Low
R100069,2025-06-25,Panel Discussion Survey,Student,Singapore,Singapore,Private University,Tier 2,On-campus,Arts/Humanities,Undergraduate,2,17,2,2,4,2,0.0,ChatGPT,,Research summarization,Take-home assignment,Heard of it,Unclear,0.0,0.65,4,3,3,3,3,1,-1.4,0.7,2.0,,2.6,Medium
R100070,2025-08-31,Panel Discussion Survey,Student,India,Pune,Community College,Tier 1,Hybrid,Medicine,Undergraduate,3,19,1,2,4,0,0.6,Notion AI,DALL·E; Perplexity,Coding help; Research summarization,Online quiz,Not aware,Unclear,0.07,0.3,2,3,3,1,4,0,-3.5,-3.8,3.4,,0.0,Low
R100071,2025-10-25,Class Survey,Student,UAE,Dubai,Public University,Tier 2,On-campus,Arts/Humanities,Undergraduate,3,18,3,2,4,4,9.0,Claude,ChatGPT,Coding help,Take-home assignment,Not aware,Unclear,0.36,0.38,3,3,2,3,3,0,2.8,-3.0,-2.8,,2.3,Medium
R100072,2025-04-20,Panel Discussion Survey,Faculty,UK,London,Public University,Tier 1,Hybrid,Arts/Humanities,Staff,,61,4,2,4,3,3.2,DALL·E,Claude; Grammarly,Note-making; Language improvement; Research summarization,Viva/Oral,Heard of it,Allowed (limited),0.0,0.66,3,4,2,2,5,0,,,,1.0,10.8,Medium
R100073,2025-12-20,Panel Discussion Survey,Student,Canada,Ottawa,K-12 School,Tier 2,Hybrid,Education,Undergraduate,3,22,2,2,4,3,3.6,Grammarly,QuillBot; Stable Diffusion,Interview prep; Career guidance,Project,Read it,Allowed with citation,0.23,0.31,3,4,4,4,1,0,0.1,3.3,0.4,,0.8,Medium
R100074,2025-10-29,Panel Discussion Survey,Student,UAE,Abu Dhabi,Public University,Tier 2,Online,Arts/Humanities,Undergraduate,2,22,4,2,4,5,6.9,ChatGPT,Claude; Copilot; Perplexity,Assignment writing; Quiz practice; Exam revision,Viva/Oral,Not aware,Not allowed,0.7,0.32,3,4,3,3,3,0,2.9,-0.5,0.4,,3.1,High
R100075,2025-10-13,Panel Discussion Survey,Student,USA,San Francisco,Public University,Tier 2,Hybrid,Sciences,Undergraduate,4,23,2,2,4,2,3.4,Midjourney,ChatGPT; Gemini,Assignment writing; Note-making,Project,Heard of it,Not allowed,0.0,0.11,4,4,2,3,1,0,8.0,-2.4,1.6,,0.9,Medium
R100076,2025-07-29,Class Survey,Student,UK,Edinburgh,EdTech Bootcamp,Tier 2,On-campus,Sciences,Undergraduate,2,19,3,2,4,4,4.0,Grammarly,DALL·E,Interview prep,In-class test,Heard of it,Allowed (limited),0.23,0.18,4,3,4,3,2,1,-3.6,-3.5,1.1,,1.0,Medium
R100077,2025-11-07,Workshop Feedback,Student,Australia,Sydney,EdTech Bootcamp,Tier 3,Hybrid,Engineering,Undergraduate,3,17,3,2,4,5,4.0,Copilot,ChatGPT; Stable Diffusion; Khanmigo,Presentation creation,In-class test,Read it,Not allowed,0.46,0.49,2,3,3,2,3,0,-2.7,0.8,-3.6,,2.3,Medium
R100078,2025-10-03,Panel Discussion Survey,Student,India,Mumbai,Community College,Tier 3,On-campus,Computer Science,Postgraduate,1,28,4,2,4,6,8.5,Gemini,DALL·E; Stable Diffusion; Grammarly,Coding help; Language improvement,Project,Heard of it,Not allowed,0.57,0.65,4,2,4,4,3,0,1.7,-5.1,0.8,,3.1,High
R100079,2025-10-18,Workshop Feedback,Faculty,Australia,Melbourne,Private University,Tier 2,Hybrid,Arts/Humanities,Staff,,53,2,2,4,1,0.0,Grammarly,,Assignment writing,Online quiz,Heard of it,Allowed (limited),0.29,0.19,4,4,4,3,5,0,,,,7.0,13.7,Low
R100080,2025-01-25,Panel Discussion Survey,Student,India,Kolkata,K-12 School,Tier 2,Hybrid,Arts/Humanities,Undergraduate,3,20,3,2,4,4,6.5,DALL·E,,Assignment writing; Research summarization,Project,Trained on it,Allowed (limited),0.37,0.54,3,4,5,4,2,0,-0.7,2.0,-1.5,,0.0,Medium
